Nama Pengguna;Skor (Bintang);Ulasan Teks;Tanggal Ulasan;Balasan Pengembang;Jumlah Like;ID Ulasan
Rus Tio123;1;ATM ga jls tiba² kena aja verifikasi ulang lah registrasi ulang lah apa lah sampe ngga bisa TF di suruh bikin surat permohonan padahal ngga ada di apa²in tiba² begitu cape banget pake ATM BCA ni ga jelas;2025-10-02 15:08:30;Kami informasikan bahwa dikhawatirkan Bapak/Ibu melakukan pergantian nomor handphone sehingga diminta untuk melakukan permohonan aktivasi finansial.;0;81479f57-5aed-4524-9547-e508b673901a
Eko Nugraha;4;sebelum di ufdete lancar, kok setelah di ufdete lelet sih;2025-10-02 13:32:03;"Mohon maaf atas ketidaknyamanannya yang Bapak/Ibu alami, namun untuk update aplikasi sudah menjadi ketentuan dan pembaharuan fitur. Update aplikasi dilakukan salah satunya untuk memperbaiki bug dari versi sebelumnya, mohon memastikan jaringan internet Bapak/Ibu dalam kondisi stabil dan ruang penyimpanan HP yang mencukupi.
";0;12d662d5-b328-413d-a9df-9f53d857d4a2
Sopandi Kumang;5;kenapa setelah update tidak bisa login;2025-10-02 12:25:34;Mohon maaf atas ketidaknyamanan Bapak/Ibu, untuk kendala tersebut mohon dapat menginformasikan detail gambar kendala yang dialami ke layanan X (Twitter) @HaloBCA atau Email halobca@bca.co.id atau Halo BCA Chat: akses melalui www.bca.co.id atau WhatsApp BCA 08111500998 agar dibantu lebih lanjut.;0;cd0f2a2e-9f4f-427c-8e75-5c32aac72047
Fitra Cahya Ramadhan;1;"saldo tiba"" hilang,cek mutasi pun ga ada transaksi nya";2025-10-02 12:08:15;Mohon maaf atas ketidaknyamanannya Bapak/Ibu. Apabila terdapat pengurangan saldo dan tidak terdapat transaksi dana keluar pada mutasi rekening, hal tersebut disebabkan karena ketentuan saldo mengendap. Saldo mengendap tdk terlihat pada saat pengecekan saldo. Untuk saldo efektif yang dapat dipergunakan, yaitu yang terdapat pada menu Informasi Saldo.;0;4fff4014-db16-48bf-b1b9-67ad1504da46
Nana Juhana;5;aplikasi yang sangat membantu dalam bertransaksi mobile banking cuman saran saya tolong diperbaharui di transaksi QR apabila ada keluhan nasabah dipermudah dan dipercepat penanganannya, terimakasih;2025-10-02 11:54:20;"Mohon maaf atas ketidaknyamanannya. Saran dan ulasan Bapak/Ibu akan menjadi bahan evaluasi bagi kami ke depannya untuk pengembangan aplikasi yang lebih baik.
";1;0bc05ea0-91f3-4128-9517-11daee163277
Abdulwadud N.p;1;abis di transfer masuk ke rek saya ko tiba tiba saldo ke potong pas liat mutasi gada potongan knp ya ini??? kepotong nya kaga setengah hampir semuah nya tolong donk ini sistemnya knp yaa??;2025-10-02 11:40:04;Mohon maaf atas ketidaknyamanannya Bapak/Ibu. Apabila terdapat pengurangan saldo dan tidak terdapat transaksi dana keluar pada mutasi rekening, hal tersebut disebabkan karena ketentuan saldo mengendap. Saldo mengendap tdk terlihat pada saat pengecekan saldo. Untuk saldo efektif yang dapat dipergunakan, yaitu yang terdapat pada menu Informasi Saldo.;0;7d8cb768-bda9-4dd0-82ee-209738ef1044
GoG;5;Update terooosss;2025-10-02 10:45:06;"Mohon maaf atas ketidaknyamanannya yang Bapak/Ibu alami, namun untuk update aplikasi sudah menjadi ketentuan dan pembaharuan fitur. Update aplikasi dilakukan salah satunya untuk memperbaiki bug dari versi sebelumnya, mohon memastikan jaringan internet Bapak/Ibu dalam kondisi stabil dan ruang penyimpanan HP yang mencukupi.
";0;b5d4fbb7-61c9-4329-8bb8-a57d37bb0835
Viqih Ardianoto;1;"makin kesini makin parah ganti hp mau login lg masa gabisa"" sms nya padah pulsa banyak.. makin aneh makin mls lama pake m-banking BCA";2025-10-02 10:29:28;"Mohon maaf atas ketidaknyamanan Bapak/Ibu, untuk kendala tersebut mohon dapat menginformasikan detail gambar kendala yang dialami ke layanan X (Twitter) @HaloBCA atau Email halobca@bca.co.id atau Halo BCA Chat: akses melalui www.bca.co.id atau WhatsApp BCA 08111500998 agar dibantu lebih lanjut.
";0;d4e1db09-517c-49d8-8797-07e3dec4dc11
Andre Sakrista;2;gak bisa verifikasi wajahhh;2025-10-02 10:16:40;"Mohon pastikan Bapak/Ibu berada di tempat terang, kamera terlihat jelas, posisi wajah berada dalam lingkaran dan data telah sesuai.
";0;08c112ad-0cb3-44fd-a63f-aa865dfb0fd3
LUCKY PRIYANTI;4;QRIS nya apakah bermasalah? saat mau bayar sudah klik pinnya malah transaksi gagal seharian ini sudah di coba berkali kali..;2025-10-02 09:36:59;Mohon maaf atas kendala yang Bapak/Ibu alami. Saat ini tidak ada kendala penggunaan fasilitas m-BCA dan dalam keadaan normal. Mohon memastikan jaringan dalam kondisi stabil. Untuk cek transaksi QRIS yang dilakukan kami sarankan menghubungi Halo BCA 1500888 atau via aplikasi haloBCA.;0;194f144a-c30e-47f6-89e3-748aa1c5e136
Uciha Obitho;1;parah buat rekening aja susah vc dari pagi sampe sore gd yg ngangkat sama skli;2025-10-02 07:54:38;Mohon maaf atas ketidaknyamanannya Bapak/Ibu. Untuk layanan video call tersedia setiap hari pukul 06:00-22:00 WIB (Tahapan dan Tahapan Xpresi) dan pukul 06:00-20:00 WIB (Tahapan Gold). Kami sarankan dapat mencoba secara berkala dikhawatirkan dalam proses antrean dan tetap memastikan koneksi internet dalam keadaan stabil.;0;16b86c53-ef34-4b70-9c37-62328e05556a
Nangku Then;5;bagus👍 sekarang habis ganti hp untuk Login ke mobile BCA kembali tidak serumit dulu;2025-10-02 07:47:08;Terima kasih atas ulasannya. Semoga aplikasi BCA mobile semakin mempermudah transaksi perbankan Bapak/Ibu.;0;e6383026-b1d5-4f49-a4fc-3acbd22017aa
Rahadiantoro;5;kenapa tiba2 ada tulisan insert yourcard di BCA mobile banking saya dan TDK bisa d buka;2025-10-02 07:34:50;Mohon maaf atas ketidaknyamanan Bapak/Ibu, untuk kendala tersebut mohon dapat menginformasikan detail gambar kendala yang dialami ke layanan X (Twitter) @HaloBCA atau Email halobca@bca.co.id atau Halo BCA Chat: akses melalui www.bca.co.id atau WhatsApp BCA 08111500998 agar dibantu lebih lanjut.;0;a30fb6f5-f3cc-4966-bf1a-251700249755
Alfan Paaww;1;pelayanan video call dalam pembukaan rekening sangat lama, tidak ada respon, sudah berkali kali mencoba dan gagal, padahal jaringan bagus menggunakan data seluler tidak menggunakan wifi;2025-10-02 07:29:15;Mhn maaf atas ketidaknyamanannya Bpk/Ibu. Utk layanan video call tersedia setiap hari pukul 06:00-22:00 WIB (Tahapan dan Tahapan Xpresi) dan pukul 06:00-20:00 WIB (Tahapan Gold). Kami sarankan dpt mencoba secara berkala dikhawatirkan dalam proses antrean dan tetap memastikan koneksi internet dalam keadaan stabil.;0;9f9eb138-a8d7-4c21-a507-b82c24704e84
Rendi Riyadi;1;ini ko' tiba tiba saldo saya kepotong ya? tapi engga ada mutasi saldo kepotong? tapi kenapa tidak bisa di gunakan untuk transaksi? kalo memang itu saldonya engga kepotong? dan bagaimana menggunakan saldo mengendap? apakah sudah tak bisa di gunakan?;2025-10-02 07:23:24;"Mohon maaf atas ketidaknyamanannya Bapak/Ibu. Saldo mengendap, yaitu saldo yang tidak dapat ditarik selama rekening belum ditutup. Saldo mengendap dapat terpakai ketika tidak ada saldo di rekening untuk biaya adm bulanan. Jika ada dana masuk kembali, maka dana tersebut akan dipotong utk mnambah kekurangan saldo mengendap yang berkurang.
";0;30856cf9-d8c0-4d01-bf9c-8b1226a0b4d8
Rivera Reza;5;Gebyar Hadiah BCA mulai lagi untuk periode 1 Oktober 2025 - 31 Januari 2026. Tapi saldo saya lebih dari 20 juta, kok gak bisa main Gatcha ? Ditulis, poin gak cukup. Padahal syarat nya saldo minimal 1 jt dan kelipatan nya. Gimana ni BCA. Gak pernah nyenggol hadiah Utama, jadi Nasabah BCA sudah sejak 2004. Saldo emank rata2 gak sampe ratusan juta, cuma buat dana darurat, mbok ya o pengundian nya dilakukan lewat media2 tv seperti dulu lg, lewat Indosiar;2025-10-02 07:05:35;Mohon maaf atas ketidaknyamanannya Bpk/Ibu. Untuk perolehan Poin Gebyar yaitu dari saldo rata-rata bulanan Rp1 juta dari total semua Rekening (berlaku kelipatan) dan Peningkatan Saldo Rata-Rata. Poin Gebyar tsb akan diperoleh pada awal bln berikutnya. Silakan dapat menunggu perolehan Poin Gebyar saldo rata-rata bln Oktober di awal bulan November.;42;537e3e07-1e56-4a26-acb9-83fb3f9e69d2
Tumanda Sinaga10;5;sangat bagus;2025-10-02 07:00:36;Terima kasih atas ulasannya. Semoga aplikasi BCA mobile semakin mempermudah transaksi perbankan Bapak/Ibu.;0;297c10c2-62f3-41fc-a6b3-b2e24074a81e
Reza Saputra26;1;setelah update .. malah eror;2025-10-02 06:47:13;Mohon maaf atas ketidaknyamanan Bapak/Ibu, update aplikasi pembaharuan fitur dilakukan salah satunya memperbaiki bug dari versi sebelumnya, disarankan lakukan update aplikasi untuk kenyamanan transaksi ke depannya. Mohon memastikan jaringan internet Bapak/Ibu dalam kondisi stabil dan ruang penyimpanan HP yang mencukupi.;0;e8d0aff4-5a5b-4fcc-9b08-360f68256285
Nindy Apriani;1;bug kode otp,Pindah perangkat baru;2025-10-02 06:05:08;Mohon maaf atas ketidaknyamanan Bapak/Ibu, jika yang dimaksud terkait kode OTP yang belum diterima, mohon memastikan ketersediaan pulsa, koneksi stabil dan nomor HP aktif dan sesuai serta dipastikan tidak ada kendala pada perangkat dalam penerimaan OTP.;0;8eac121c-f5a0-4af6-b53b-afd4a41e7c37
Wywyd Prayitz;2;keybord bcanya rada lemot. mohon di perbaiki;2025-10-02 06:01:46;Mohon maaf atas ketidaknyamanannya, ulasan Bapak/Ibu menjadi bahan evaluasi kami guna meningkatkan layanan di masa mendatang agar kami senantiasa dapat memberikan pelayanan prima serta melayani kebutuhan perbankan Bapak/Ibu. Mohon memastikan jaringan internet Bapak/Ibu dalam kondisi stabil dan ruang penyimpanan HP yang mencukupi.;0;84f761df-7a13-4608-b7c2-17b2c467eb71
Dafid Khalid;5;Terjamin Aman Dan Gampang Transaksi;2025-10-02 05:36:21;"Terima kasih atas ulasannya. Semoga aplikasi BCA mobile semakin mempermudah transaksi perbankan Bapak/Ibu.
";0;2c971c50-5b0a-4e05-9dfd-107d73f9c4b7
Herman Juniar;1;Tidak bisa masuk ke BCA Mobile, selalu ada bacaan perubahan limit Qris limit bayar, tolong di perbaiki;2025-10-02 05:21:21;Mohon maaf atas ketidaknyamanan Bapak/Ibu, untuk kendala tersebut mohon dapat menginformasikan detail gambar kendala yang dialami ke layanan X (Twitter) @HaloBCA atau Email halobca@bca.co.id atau Halo BCA Chat: akses melalui www.bca.co.id atau WhatsApp BCA 08111500998 agar dibantu lebih lanjut.;0;7bf415a0-d880-4644-99b3-52c391d79881
Farid Ahmad;1;BCA suka mengambil uang nasabah tanpa masuk data mutasi knpa hal ini kadang terjadi saldo saya1,880 di kurangi BPJS 72.500 knapa sisa 1,770 dan di mutasi tertulis 72.500;2025-10-02 04:43:04;Mohon maaf atas ketidaknyamanannya Bapak/Ibu. Apabila terdapat pengurangan saldo dan tidak terdapat transaksi dana keluar pada mutasi rekening, hal tersebut disebabkan karena ketentuan saldo mengendap. Saldo mengendap tdk terlihat pada saat pengecekan saldo. Untuk saldo efektif yang dapat dipergunakan, yaitu yang terdapat pada menu Informasi Saldo.;0;c1485f08-cee2-40e3-87f3-4a9f80362afb
Yoandri Anoit;1;lelet;2025-10-02 04:02:35;Mohon maaf atas ketidaknyamanannya. Saran dan ulasan Bapak/Ibu akan menjadi bahan evaluasi bagi kami ke depannya untuk pengembangan aplikasi yang lebih baik.;0;ae3a14f1-a8eb-490c-adea-bec661a6f405
Meme Wahyuningsih;5;enak;2025-10-02 03:49:50;"Terima kasih atas ulasannya. Semoga aplikasi BCA mobile semakin mempermudah transaksi perbankan Bapak/Ibu.
";0;2e468400-211b-40f6-82b8-d26108cf2831
1607_Kurnain;1;simpan di m-banking sekarang ribet dan sekarang saldo tiba tiba kepotong padahal di mutasi ga ada pemotongan biaya admin 😭😭 Kenapa harus takut sih sekarang simpan di bank ga pernah se kecewa ini niat mau nabung eh malah begini T_T;2025-10-02 03:43:29;Mohon maaf atas ketidaknyamanannya Bapak/Ibu. Apabila terdapat pengurangan saldo dan tidak terdapat transaksi dana keluar pada mutasi rekening, hal tersebut disebabkan karena ketentuan saldo mengendap. Saldo mengendap tdk terlihat pada saat pengecekan saldo. Untuk saldo efektif yang dapat dipergunakan, yaitu yang terdapat pada menu Informasi Saldo.;0;d35590c3-78c9-4aab-8497-32113dc69b1f
Agus Mail;5;Bagus;2025-10-02 03:39:35;Terima kasih atas ulasannya. Semoga aplikasi BCA mobile semakin mempermudah transaksi perbankan Bapak/Ibu.;0;60377e3a-0b32-4e6d-8b5d-b6bbd638ff23
Reza Mardes;1;kok saldo tiba tiba langsung 0 makin aneh aja aplikasi, padahal blm waktu nya bayar biaya admin bulanan.. gimana cara baliknya ini.. harus pindah ke ATM laen kayanya;2025-10-02 02:20:39;Mohon maaf atas ketidaknyamanannya Bapak/Ibu. Apabila terdapat pengurangan saldo dan tidak terdapat transaksi dana keluar pada mutasi rekening, hal tersebut disebabkan karena ketentuan saldo mengendap. Saldo mengendap tdk terlihat pada saat pengecekan saldo. Untuk saldo efektif yang dapat dipergunakan, yaitu yang terdapat pada menu Informasi Saldo.;0;f913125d-5033-4d7d-b59e-da47115d021a
Ichsan Fadilah;1;tidak bisa di Download;2025-10-02 01:52:49;Mohon maaf atas ketidaknyamanan Bapak/Ibu, mohon memastikan jaringan internet Bapak/Ibu dalam kondisi stabil dan ruang penyimpanan HP yang mencukupi.;0;0123b482-4d90-4751-8055-14bc4ded3e3d
Irwan Altambuni;3;keblokir telp.halo bca,tapi kenapa harus registrasi ke atm.harusnya bisa dong via aplikasi;2025-10-02 00:15:36;Mohon maaf atas kendala yang Bapak/Ibu alami, jika sudah reset m-BCA yang terblokir melalui Halo BCA 1500888, sesuai dengan ketentuan silakan untuk selanjutnya registrasi ulang di mesin ATM BCA terdekat.;0;22928cbb-ddc6-44c4-9db5-3768dcdd7e9d
Hamdi Rangkuti;4;sejauh ini good ada bug2 sedikit msi bisa di maklumi.;2025-10-01 23:38:17;"Terima kasih atas saran dan ulasan yang Bpk/Ibu berikan. Hal ini menjadi masukan bagi kami untuk pengembangan aplikasi BCA mobile dan silakan dapat menunggu implementasi dari BCA.
";0;d95ace8e-596b-4b94-8263-f5d1931eb125
Mat Sari;1;kurang baik;2025-10-01 22:55:16;"Mohon maaf atas ketidaknyamanannya. Saran dan ulasan Bapak/Ibu akan menjadi bahan evaluasi bagi kami ke depannya untuk pengembangan aplikasi yang lebih baik.
";0;f69ed101-85a9-4518-8540-1e573c751b4c
Unziq Chanel;2;sekarng aplikasi kok malah kurang nyaman dipakai, setiap login lama menunggu baru BS dibuka... tolong dong dii perbaiki lagi..;2025-10-01 22:44:24;Mohon maaf atas ketidaknyamanannya Bapak/Ibu. Mohon pastikan koneksi jaringan stabil saat ingin menggunakan aplikasi BCA mobile dan ruang penyimpanan di perangkat yang dipergunakan mencukupi. Kami sarankan juga restart HP terlebih dahulu dan Bapak/Ibu dapat mencoba mengakses kembali secara berkala.;0;0542a52c-feba-4790-8559-6c5088cfc92b
Luiz Iruel;5;kanapa tidak keluar notif punya saya;2025-10-01 22:01:17;Mohon maaf atas ketidaknyamanan Bapak/Ibu. Terkait notifikasi di aplikasi BCA mobile untuk transaksi transfer dari sesama Rekening BCA maupun bank lain tidak terdapat notifikasi, kecuali transaksi dana masuk dari bank lain dengan transaksi transfer menggunakan layanan BI Fast maka Bapak/Ibu akan mendapatkan notifikasi di aplikasi BCA mobile.;0;9ba672ab-3581-4f30-ba29-2efeb7fe3179
ORTEGA;1;bisa bisanya server error mulu dipaksa keluar cs instagram gak ngebantu gak ngasih solusi;2025-10-01 20:55:19;Mohon maaf atas ketidaknyamanan Bapak/Ibu, mohon dapat informasikan detail kendala yang dimaksud agar kami informasikan lebih lanjut sesuai kebutuhan.;0;6b855573-a8d5-4173-972c-c98d93fe04de
Hasto Kuncoro;1;gimna ini saldo saya kepotong habis tapi transaksi gagal terus??? saldo saya gimna ini min;2025-10-01 20:19:16;Mhn maaf atas ketidaknyamanannya. Jika saldo rekening sdh berkurang namun dana tdk masuk ke tujuan, maka terkait kendala tersebut kami sarankan Bapak/Ibu dpt menghubungi Halo BCA 1500888 agar dibantu proses lebih lanjut. Menghubungi Halo BCA 1500888 tanpa biaya pulsa maka Bapak/Ibu dpt download aplikasi haloBCA dari Play Store atau App Store.;0;b92769ea-0df6-4b3f-869c-56747f93cf2b
Dimas Debleng;5;sengaja bintang 5 , KENAPA PEMBAYARAN GAGAL TAPI SALDO BERKURANG!!! TOLONG TANGGUNG JAWAB;2025-10-01 20:16:46;Mhn maaf atas ketidaknyamanannya. Jika saldo rekening sdh berkurang namun dana tdk masuk ke merchant, maka terkait kendala tersebut kami sarankan Bapak/Ibu dpt menghubungi Halo BCA 1500888 agar dibantu proses lebih lanjut. Menghubungi Halo BCA 1500888 tanpa biaya pulsa maka Bapak/Ibu dpt download aplikasi haloBCA dari Play Store atau App Store.;0;81ec2d64-1823-4c64-abb7-a3f740f7d25b
Hadi Nugroho Alpha;1;kenapa kok bca saya gak bisa ya kirim gambar sama qris ambil dari gambar;2025-10-01 18:38:00;Mohon maaf atas kendala yang Bapak/Ibu alami. Apabila Bapak/Ibu memiliki kendala untuk pengambilan gambar, dikhawatirkan hal tersebut kendala pada device yang digunakan.;0;2d5990f0-ced6-4762-ade3-5c31a7440650
Winia 20;1;"apk gk jls,klo mau masuk ajh harus kirim pesan ke SMS,dan itu pas ke kirim malah muncul close Mulu di apknya,jdinya keluar""an mulu,mndingan mandiri kemana"" gk ribet. bikin kesel rasanya,cuman ngirim pesan berkali"" smpe pulsa habis haduhh";2025-10-01 15:25:19;Mohon maaf atas ketidaknyamanannya. Saran dan ulasan Bapak/Ibu akan menjadi bahan evaluasi bagi kami ke depannya untuk pengembangan aplikasi yang lebih baik.;3;6add657e-7194-4f9b-8a0e-536452dfa633
Wiwi Wiwi;1;uang saya tiba2 hilang 40rb , ga seberapa mungkin tapi itu uang dapet keringat woy !! ga ada keterangan di mutasi apapun !!!;2025-10-01 15:12:08;Mohon maaf atas ketidaknyamanannya. Jika saldo rekening berkurang maka kami sarankan Bapak/Ibu dapat lakukan pengecekan mutasi rekening untuk transaksi tersebut. Apabila terdapat transaksi mencurigakan silakan Bapak/Ibu menghubungi Halo BCA 1500888 atau aplikasi haloBCA agar dibantu proses lebih lanjut.;0;742f7d62-3cb8-4bbe-b3d0-32444a3c28a7
Budi Tomi;1;buka rek online dipermudah tapi setelah beberapa bulan gak bisa login. no rek terhubung ke rdn. cs online gak bisa kasih solusi ,cuma bisa spam ke solusi yg itu2 aja ke nasabah;2025-10-01 15:02:37;Mohon maaf atas ketidaknyamanannya. Saran dan ulasan Bapak/Ibu akan menjadi bahan evaluasi bagi kami ke depannya untuk pengembangan aplikasi yang lebih baik.;0;0a8ec005-9b5d-49de-a023-9226ff7cbcb6
Bossmuda Cecep;1;halo bca saldo di mbanking tiba tiba hilang, babi;2025-10-01 14:59:45;Mohon maaf atas ketidaknyamanannya. Jika saldo rekening berkurang maka kami sarankan Bapak/Ibu dapat lakukan pengecekan mutasi rekening untuk transaksi tersebut. Apabila terdapat transaksi mencurigakan silakan Bapak/Ibu menghubungi Halo BCA 1500888 atau aplikasi haloBCA agar dibantu proses lebih lanjut.;0;b409ab25-a7f9-4078-bbf2-43261195cb8b
Oja Jakarta;1;notifikasi tidak muncul apa harus k bank BCA lagi capek deh. misal ada yg kirim uang saya cek di mobile bca g ada satupun notifikasi uang masuk atau keluar;2025-10-01 13:46:37;Mohon maaf atas ketidaknyamanannya, saat ini terdapat kendala, namun sedang dalam penanganan pihak analis BCA. Silakan Bapak/Ibu dapat menunggu dan coba secara berkala.;0;7d500c04-883c-4113-bc44-9bed0a36e215
Agos kuprit826;1;tetap gabisa sinyal Masi merah saya coba berkali kali hasilnya sama padahal sinyal sudah stabil..mohon bantuanya;2025-10-01 13:21:38;Mohon maaf atas ketidaknyamanannya, saat ini terdapat kendala, namun sedang dalam penanganan pihak analis BCA. Silakan Bapak/Ibu dapat menunggu dan coba secara berkala.;0;55252969-c845-4099-8c4f-49c9fe699882
Kacong Hamdan;5;knp kok gk bs di apdet;2025-10-01 13:11:11;Mohon maaf atas ketidaknyamanan Bapak/Ibu, untuk update aplikasi sudah menjadi ketentuan dan pembaharuan fitur. Mohon memastikan jaringan internet Bapak/Ibu dalam kondisi stabil dan ruang penyimpanan HP yang mencukupi.;0;f06ac7ef-25c9-4f91-b2cd-8dcdd46c6f6b
Abdul Zon;3;Mohon Untuk Meningkatkan Limit per hari Top Up Flazz 2Jt/Hari terlalu kecil untuk keperluan bisnis;2025-10-01 13:03:07;Terima kasih atas ulasannya, untuk saran dan ulasan Bapak/Ibu akan menjadi bahan evaluasi bagi kami ke depannya untuk pengembangan aplikasi yang lebih baik.;0;0bd38860-04a2-46dc-be9a-7f48a185691f
Nour Yadi;2;mbanking saya per hari ini kaga bisa di buka knpa ya, kemarin2 masih bisa;2025-10-01 12:53:11;Mohon maaf atas ketidaknyamanan Bapak/Ibu, untuk kendala tersebut mohon dapat menginformasikan detail gambar kendala yang dialami ke layanan Twitter @HaloBCA atau Email halobca@bca.co.id atau Halo BCA Chat: akses melalui www.bca.co.id atau WhatsApp BCA 08111500998 agar dibantu lebih lanjut.;0;bba8a30b-9ba2-44c2-bb05-f5046b8e4d4d
Frezagt 12;1;vidcall lama;2025-10-01 12:28:24;Mohon maaf atas ketidaknyamanannya Bapak/Ibu, dikhawatirkan layanan sedang padat sehingga Bapak/Ibu masih dalam antrean. Silakan dapat mencoba menghubungi kembali secara berkala.;0;170208a8-1b0f-42ce-850a-4c73f96371e7
Siti Nuryanah;5;oke yes;2025-10-01 12:21:03;Terima kasih atas ulasannya. Semoga aplikasi BCA mobile semakin mempermudah transaksi perbankan Bapak/Ibu.;0;9e9c6af9-caac-4a91-b110-07022703ab05
Muhamad Rohmat hasyim;1;gimana cara login ulang mbaking aplikasi sudah kehapus, saya udah habis pulsa banyak ttp aja gabisaa udah coba cara ini itu di youtube juga ga bisa malah disuruh ke ATM nya lngsung;2025-10-01 12:19:57;Apabila aplikasi BCA mobile Bapak/Ibu sudah terhapus, maka silakan dapat mengunduh kembali. Untuk mengakses m-BCA pada aplikasi BCA mobile mohon dipastikan nomor HP m-BCA berada pada slot SIM 1. Jika sudah ada respon melalui SMS, maka dapat kembali pada aplikasi BCA mobile dan mengikuti langkah selanjutnya.;0;563cc42a-78ea-4396-9b18-8abe6905ef63
Dedi Ramdhan Sidik;1;Di update kenapa malah jadi lemot aplikasi nyaaa;2025-10-01 12:17:59;Mohon maaf atas ketidaknyamanan Bapak/Ibu. Mohon memastikan jaringan internet Bapak/Ibu dalam kondisi stabil dan ruang penyimpanan HP yang mencukupi.;0;55c8cc2c-8fdc-4992-b20f-a4064112bfba
Risma;2;setiap kali buka aplikasi BCA tiba2 jaringan lemot. lampu merah terus, mau beli voucher juga susah gagal terus padahal kalo dipake yg lain sinyal bagus terus;2025-10-01 12:03:26;Mohon maaf atas ketidaknyamanannya. Apabila lampu indikator berwarna merah maka mohon Bapak/Ibu restart HP dan coba kembali serta pastikan koneksi internet tetap stabil. Jika masih mengalami kendala, silakan mengaktifkan Mode Pesawat di HP yg digunakan 20-30 detik, kemudian non aktifkan dan tunggu beberapa saat agar lampu indikator berwarna hijau.;0;fa8e83f3-4a3e-4053-b1c4-f0a415ff33bb
Ali Ashar;5;luar biasa;2025-10-01 11:28:14;Terima kasih atas ulasannya. Semoga aplikasi BCA mobile semakin mempermudah transaksi perbankan Bapak/Ibu.;0;1f51db21-5a63-4d9d-b78a-18edf694eb31
Sri Noviyani;1;setiap isi flazz dan kris ga masuk tp saldo sudah terpotong!;2025-10-01 10:35:38;Mohon maaf atas kendala yang dialami Bapak/Ibu, apabila transaksi yang gagal namun saldo sudah terdebet kami sarankan untuk menghubungi Halo BCA di 1500888, melalui aplikasi haloBCA atau myBCA mobile (menu Pusat Bantuan) dan juga dapat menggunakan fitur Live Chat di aplikasi haloBCA dengan login menggunakan BCA ID.;0;268a63e9-bb71-4905-a9be-229e468d7ae8
Elfath Telecaster;3;Setelah di update malah error 205... gag bisa transaksi jadinya.;2025-10-01 10:24:26;Mohon maaf atas ketidaknyamanan Bapak/Ibu, jika terdapat respons 205 mohon memastikan kembali BCA mobile Bapak/Ibu benar terhubung dengan SIM card nomor HP yang telah didaftarkan m-BCA, jika menggunakan HP dengan dual SIM card, SIM card m-BCA diletakan pada slot utama, tidak mengganti-ganti slot utama yang digunakan untuk nomor HP m-BCA.;0;62d72918-218a-48a5-b46b-1e1240580e36
Roni Satu;5;transaksi pake QR saldo kepotong tapi ga masuk gimna ya biasa nya balik lg;2025-10-01 10:06:47;"Mohon maaf atas kendala yang dialami Bapak/Ibu, apabila transaksi yang gagal namun saldo sudah terdebet kami sarankan untuk menghubungi Halo BCA di 1500888, melalui aplikasi haloBCA atau myBCA mobile (menu Pusat Bantuan) dan juga dapat menggunakan fitur Live Chat di aplikasi haloBCA dengan login menggunakan BCA ID.
";0;1db7e8da-6795-404e-b666-d5cba65d7272
Ardi Marduansyah1;1;saya ingin menanyakan untuk aplikasi BCA Mobile kenapa tidak bisa di gunakan nya ada kode 205 mohon di perjelas. terimakasih apabila membaik saya beri rating normal kembali. saya tidak merubah sama sekali sim-card;2025-10-01 10:01:45;Mohon maaf atas ketidaknyamanan Bapak/Ibu, jika terdapat respons 205 mohon memastikan kembali BCA mobile Bapak/Ibu benar terhubung dengan SIM card nomor HP yang telah didaftarkan m-BCA, jika menggunakan HP dengan dual SIM card, SIM card m-BCA diletakan pada slot utama, tidak mengganti-ganti slot utama yang digunakan untuk nomor HP m-BCA.;0;729d7634-a39e-4b50-88df-07c1a49f2e61
fajrsch;1;lemot amat ngirim kode otp;2025-10-01 09:47:14;Mohon maaf atas ketidaknyamanan Bapak/Ibu, untuk kendala terima kode OTP mohon melakukan pengecekan pulsa dan koneksi jaringan dalam keadaan stabil. Jika pulsa mencukupi dan koneksi jaringan normal, mohon kesediaan Bapak/Ibu melakukan request kirim ulang kode OTP.;0;7cdf4a85-413c-4a9f-8e65-4a0930ddc028
Azril Noval;5;oke;2025-10-01 09:46:43;Terima kasih atas ulasannya. Semoga aplikasi BCA mobile semakin mempermudah transaksi perbankan Bapak/Ibu.;0;5e838c1d-09c8-4f8c-9404-95c4ff39290c
adrian bilma;1;ko saldo saya mengilang 20.000;2025-10-01 09:43:23;Mohon maaf atas ketidaknyamanannya. Jika saldo rekening berkurang maka kami sarankan Bapak/Ibu dapat lakukan pengecekan mutasi rekening untuk transaksi tersebut. Apabila terdapat transaksi mencurigakan silakan Bapak/Ibu menghubungi Halo BCA 1500888 atau aplikasi haloBCA agar dibantu proses lebih lanjut.;0;5f7c2513-e9cc-4bd2-b87d-cf6ca51b1956
Indra Yudha;5;tarik tunai tanpa kartu sangat berguna sekali kedepannya semoga bca bisa membuat tarik tunai tanpa saldo, sukses buat bca;2025-10-01 09:39:11;Terima kasih atas ulasannya. Semoga aplikasi BCA mobile semakin mempermudah transaksi perbankan Bapak/Ibu.;0;4ecddd26-55a4-4551-9fe5-80cb9177d388
Dewi Agustini;5;🇵🇭🇵🇭🇵🇭🇵🇭🇵🇭🇵🇭🇵🇭🇵🇭🇵🇭🇵🇭;2025-10-01 09:24:20;Mohon maaf atas ketidaknyamanan Bapak/Ibu, mohon dapat informasikan detail kendala yang dimaksud agar kami informasikan lebih lanjut sesuai kebutuhan.;0;395d9f81-eb5e-4059-8a57-438e215ceb88
