Nama Pengguna,Skor (Bintang),Ulasan Teks,Tanggal Ulasan,Balasan Pengembang,Jumlah Like,ID Ulasan
muhammad harist gusnaini,1,gak jelas,2025-09-28 18:15:37,,0,9f4cf9be-e283-4e31-b81f-f5a1bf3bca20
Wendi Putra,1,kek mn sih ini mau batal kan langganan ajah mesti masuk di aplikasi nya harus bayar lagi sedang kan netflix nya udah langsung kepotong di saldo dana gmn sih gk jelas aplikasi nya merugikan orng,2025-09-28 17:41:48,,0,e75ebc65-5e59-4071-b443-500f3ac572f1
Afrah Fathi Fauzani,5,"Nonton Hiburan Drama Film Horror, Video juga HD 100% persen No HOAX 👍👍👍",2025-09-28 14:58:09,,0,2db288ed-9858-488c-8d7e-c86317600dd3
azis sirojudin,1,kemahalan,2025-09-28 14:48:53,,0,b9ed4061-bfde-45b1-b265-4ebc41ede97f
Fajeri Anoor,5,Good,2025-09-28 10:55:13,,0,6dbce894-360f-4774-89d4-240239830387
Sri indratama Wahyu jatmiko,5,ok,2025-09-28 09:19:26,,0,e4e8b78d-22be-4463-8695-8a0c9f572fe8
Hans Hans,1,"aplikasinya kurang, ketika daftar melalui Gmail trs masukin sandi yang benar di bilang salah, perbaiki yang bagus 😒",2025-09-28 07:29:18,,2,31d602aa-0347-44a8-b99e-f1c79cf06539
Feri Ferdianto,5,bagus bagus untuk gta-nya,2025-09-28 06:17:45,,0,32a9fbcf-e609-4372-9ed2-799f194de9f6
sindi lestari,2,"plis plis plis, susaa bgt bwt dftr ny",2025-09-28 06:04:30,,0,bb86e6fe-bedf-411f-80b3-fc8f8620da3c
Veronica officials,1,"“아이치이에 있는 거 넷플릭스에도 넣어줘.” “Tolong adain yang ada di iQIYI masukinke Netflix ya, bahasa Korea, karena iQIYI rese.”",2025-09-28 05:00:54,,0,15676969-fd73-4299-97c6-db270ac0a0ae
Febby Diana,1,pendaftaran yg ribet!!!,2025-09-28 04:38:08,,0,6aa38f23-0a4d-4771-a1e1-4930a3512a4c
Purwo Aji Darsono,1,"sampah,mau login aja muter muter doang,gabisa masuk,disuruh masukin kode,pas dimadukin kodenya,di ulang ulang terus, sampah",2025-09-28 03:25:40,,0,59c1fbc6-dac9-40e9-9625-ebfab0bc8a02
Abila Arvi,2,2 aja lah capek nonton,2025-09-28 01:29:23,,0,b5b83a06-a4d4-4fab-91f7-c9157eca5f07
quisty oktavia,1,makin kesini neflix sering lag. suaranya ada tapi gambar video nya nge freeze gak gerak.,2025-09-28 00:57:32,,0,d21216c3-200c-4add-a5e3-65baf3646c42
Fahrur Rozi,5,mantap,2025-09-27 23:28:12,,0,1bf7018f-39a8-4ac7-9f3c-4123e9c01aea
Iqbal Suffil,1,mau login aja setengah mati,2025-09-27 17:40:20,,0,a5b821cf-12a7-4703-8089-c4917f74bba6
Ardhika Pmdy,1,filmnya ga lengkap woeeee,2025-09-27 17:14:10,,0,a4921dc2-3951-45f5-a3d2-47c22c40189b
Mahira Sahara,1,"Customer service didn't help me at all, even straight up rejected me without listening to my complaint. I'm ready to give my data to customer service whatever they need, but the service is not good, it's appropriate to give a rating of 0. I'm really disappointed, even though I need my account to watch! But CS doesn't want to help me change my email, I can change it myself without bothering CS if MY EMAIL IS STILL WORKING",2025-09-27 16:20:27,,0,b378344b-3024-43b7-bd1a-2dad2592c1e2
Oji Saputra,1,Saya sudah putuskan ke anggota an tapi saldo rekening saya tetap terpotong,2025-09-27 16:10:46,,0,640c782e-aba1-498b-950d-a1560507bd21
Moch Rizki Firdaus,1,Gabisa masuk pake nomor hp,2025-09-27 14:37:48,,0,6ce8fff6-a20d-4457-8ffd-9b609921f930
Elvira Elvira,1,lemot,2025-09-27 13:55:31,,0,25b109d8-f393-41c5-9a13-d3f26a08b78b
Dejan farid,1,"jelek banget ni aplikasi, udh mah ga bisa login pake gmail atau nomor telepon harus pake kode password, dan saya minta kode pasword nya ga dikasih, ribet banget ni aplikasi pake harus apalah",2025-09-27 12:46:46,,0,65f8421d-d6b0-4155-8285-4fcb157c281c
Bia Cy,1,tidak bagus,2025-09-27 12:46:02,,0,95766644-17ec-4eb7-b21d-aceb48e966dd
Indah Pravitha Sari,2,"blm sebulan berlangganan malah ga bs login, aneh bgt ni aplikasi buang² duit aja..",2025-09-27 12:40:55,,0,5957ef94-4fbb-4234-a39e-fb2567d1b4b7
Susila Huang,1,"lama2 jadi males langganan Netflix,karna setiap mo nonton delay,padahal sinyal bagus,udh bayar juga",2025-09-27 12:38:25,,3,279f5b74-025e-4092-9dbc-575e9a0bc065
Devianita Dwi Jayanti,1,"langganan 186k, cuma bisa di laptop doank, giliran di HP cuma loading.",2025-09-27 12:03:28,,0,80d9ebb3-ba07-43d9-b225-edfad6c0de6d
Rasdianti Anti,5,baik,2025-09-27 11:31:15,,0,e5aa3254-1d19-47b1-942e-c4992c6f8e4d
Yu Ni,1,tkw malaysia,2025-09-27 08:06:22,,0,1499a575-d17e-4bfa-a979-869227f1c102
Nof phe,1,"kalau mau nonton harus masuk/daftar dulu tapi pas saya daftar panjang prosesnya udah ada promosinya pas proses,saat udah selesai disuruh masukan sandi padahal pas awal belum disuruh buat sandi,pas mau ganti sandi prosesnya kaya dari awal terus di puter puter jadi nya saya belum bisa masuk,saya berikan masukan saat daftar/masuk beri pilihan google dan tinggal pilih akunnya trus selesai,ini membuat orang tidak bisa menonton mungkin bukan saya saja yang mengalami ini.",2025-09-27 08:04:31,,0,9fc865f4-bb8d-48b7-a64b-221b4d14b30b
Dayu Kinar,4,"ada beberapa film yg ingin saya tonton di Netflix seperti beberapa series umamusume (anime), saya sangat menyukai series yg ada di Netflix, namun terkadang kualitasnya pecah².",2025-09-27 06:51:27,,1,cbc9d54c-9764-44b7-9ce7-52b42462629e
Nur Halimah,1,bayar ihhhh,2025-09-27 05:22:19,,0,87c1ef3f-437a-41c3-b990-d1d7ef7ee127
Aliyah Fairuz,1,Kenapa Netflix di Tv tidak ada tombol ke nonton???,2025-09-27 03:58:53,,0,d2ec2a46-4998-44c2-9683-8344798264fb
Adam Rasyid Fajri,1,Burut,2025-09-27 03:49:07,,0,32edbfff-f0f5-4685-810b-a70e03f32d2d
Pria Tampan,1,"ribet amat ni aplikasi,cuma login aja ribet banget",2025-09-27 02:48:13,,0,aa0b1bb3-74ca-44c3-8696-7b0c76dc0f2f
Jajang _lykan,1,"sudah berhenti langganan.. masih aja kepotong dan tau² berlangganan secara otomatis, sdah berhenti berlangganan lagi, bulan depannya kepotong lagi otomatis.. all hasil dah 6 bulan kepotong terus..",2025-09-27 02:41:36,,0,f329a9ac-b36b-4f72-ac9f-ff4fcb001690
Armansyah Amang,5,keren wak,2025-09-27 02:15:35,,0,13ed091b-e5c8-4783-849b-5d32f0de02f0
アタ―,1,"the shitties app ever. udh bayar preium yg paling mahal ternyata ga nyaman nontonnya. masa kecepatan video maksimal cuma 1,5. gw terbiasa nonton di speed 2. klo gitu jadi lelet dan buang waktu banget. gw balik aja ke tempat download bajakan. langsung gw cancel subcriptionnya. terbuang duit gw percuma",2025-09-27 02:10:29,,15,63b64199-2953-40b3-aa59-ec923ac1cbb1
Angelina Novia Keni,1,Sudah dibayar tapi gk bisa nonton. terus tagihan setiap bulan mau berhenti nya gk bisa,2025-09-26 18:42:55,,0,3c56452a-3bfa-4cc2-a1b9-9ba3ef14153d
Choirul Anam,5,👍,2025-09-26 17:51:17,,0,03ec4ef1-b1e1-4ffd-a161-7b34961e8c7d
SAKARIUS,1,gajelas apk korupsi,2025-09-26 16:51:34,,0,5e284b3f-a43c-45f6-a9a0-48a0e07bcec3
Muhammad Akbar Prayogo,1,buat pembayaran berlangganan aja susah banget anj,2025-09-26 16:26:55,,0,e1770c8a-5a02-4e18-955d-f78297c13287
Karsa erika Demiansyah2,5,keren,2025-09-26 15:16:48,,0,9f08a4a5-48f7-4db4-acac-8ab093a6cc61
Diserly Apri,1,lg asik nonton tiba2 eror dan gk bisa di buka lg ke apa ini,2025-09-26 13:47:04,,0,698cf371-72b1-438a-ba82-4993aef34adc
Rafliza,1,gembel eror mulu,2025-09-26 13:12:32,,0,3aab56b0-4728-4ad3-ab38-c6682a173fc7
Bgssyifrmdhnn,1,"Padahal udah punya akun Netflix, eh pas mau masukin akun malah ga bisa login, udh berapa kali ganti sandi gmail sama minta kode sama aja, malah di suruh daftar akunlah, di arahin kelink gmail, link chrome. Apa harus berlangganan dulu baru bisa masuk?... Ribet banget mau nonton film aja, di mana"" kalo akun gmail udh tersangkut di apk kalo login langsung masuk walaupun kita non langganan, ini mah kga.",2025-09-26 12:43:32,,0,548bd083-00bf-4010-b8ac-6346f062df4b
Retno Wijayantie,2,"tolong masak aq mo nonton slalu gagal,perbaiki lah jgn mngecewakan,,atau suruh brhenti berlangganan?",2025-09-26 11:47:21,,0,b0cc316b-4621-487b-97a9-83e8cc00cd4c
Halimatus Sadiyah,2,kenapa anime one piece gak lengkap kecewa top up buat nonton biar hd malah gak lengkap sakit hatii tauuu,2025-09-26 11:26:53,,0,27e87945-deb3-4c16-ab0b-8cf6f3779315
Tio Tanio,1,login nya susah banget,2025-09-26 10:01:26,,0,40c02bfc-16ce-458a-b2d7-7be48ee175f9
Khalisha Luthfia Rahman Nasution,1,saya buka netflix masi aman banget namun ketika saya ingin menonton dia loading terus padahal paket data saya kencang,2025-09-26 08:58:14,,0,358df4f7-678f-43c9-a093-42d50a6bbef1
Rei,3,aku udah login dan udah bayar juga tapi ga bisa masuk ke akun nya harus daftar ulang dan uang aku hilang gitu aja jujur kecewa sih sama Netflix aku kira ini apk yang bagus ternyata aku salah Netflix ku udah aku uninstall dan ya uang aku hilang padahal aku belum nonton sama sekali jujur kecewa banget,2025-09-26 08:25:40,,0,4b92b8d6-832f-4bed-ae24-f053891c94a3
asoe asoe,1,nonton di hp harus make data. ga bisa make wifi. di download bisa. ketika di putar ga bisa . harga berlangganan mahal tetapi ga sudai dengan aplikasi yg bobrok,2025-09-26 04:03:13,,0,00b5409d-a617-4c9c-9287-ac9d58032d00
Darwis Dqueen72,4,halo dengan saya pengguna netflix ini ad masalah di sambungan di tv ko gangguan padahal sudah langganan . tolong di perbarui .,2025-09-26 03:04:44,,0,b7380c13-ca0d-4009-b1a5-76215299a2f6
Kartika Sari,1,filmnya sikit kali.,2025-09-26 02:48:53,,0,c64ed074-62bf-4fca-856c-fe432c4279e9
Muhamad Khairurizal,5,sangat baguss sekali 🔥🔥🔥,2025-09-26 01:46:01,,0,8efd576c-2598-4c81-9529-d87f87c8e2c4
Nur Sa'adah,2,Sering banget ke log out otomatis sewaktu digunakan. Mau log in kembali error.,2025-09-26 01:29:40,,0,e3aadd0c-e679-4525-b959-a7a2df38ad9b
Bibik Bik,5,aku suka bgtt karna ada KPop demon Hunter jadi walaupun gak banyak tapi gpp 😀,2025-09-25 22:41:11,,0,9ece0724-3105-4f53-83cd-02825827868a
abi ummy,4,lumayan utk di tonton klo BS ada tv online juga supaya bintang nya full,2025-09-25 21:24:28,,0,9ab03236-d9fb-4746-809b-98ed42675c6b
Ghifa Ghifi,1,"apa ini,kok gak bisa bisa login padahal sudah buat akun,malah gak ke detek,gimana ni developer buat yang ngotak lah,apl gak bisa digunakan kenapa di promosikan,dasarrr developerrrr!!!!!!!!!",2025-09-25 16:05:01,,15,d0291218-159f-469e-a6d2-8e59544faa08
Gilang Rahadian Permana,1,"kualitas gambar ga bisa di atur langsung kaya dulu, penurunan kah?",2025-09-25 15:12:37,,0,f691b760-15aa-47f2-a6d0-d65aa269d954
Zahrul Setiyawan,1,Kebanyakan nyuruh gw bayar asuw baru juga downlod🙄,2025-09-25 13:18:26,,0,1d881af7-ab0b-45ad-a49a-d9e72ab0aa32
Mitha dwi.p.j,1,kenapa ga bisa login sih ini!,2025-09-25 11:36:21,,0,bb598720-20b2-4f9b-8ea6-d933e5d81d5c
Andre Prasetyo,1,bad,2025-09-25 11:03:07,,0,ed79d46c-6ee9-40d9-a18e-5dc807795e16
Sandy Hasjamuttar,1,aplikasi ampas,2025-09-25 10:31:18,,0,d8789821-003b-4f70-a0c0-06fffa6176c4
Nazriel R. A.,1,"Saya mencoba melakukan pembayaran untuk mengecek e-wallet yang digunakan. Setelah itu, ternyata yang digunakan shopee pay dan saldonya kurang dari 50rb otomatis gagal. Selang beberapa bulan saya isi saldo 500rb dan ada notif kalo pembayarannya gagal, tapi setelah saya menggunakan saldonya 400rb, saldo saya di potong sekitar 54rb untuk berlangganan, padahal pembayaran sudah gagal kenapa masih terpotongg?????",2025-09-25 09:57:49,,18,5298502e-8932-480d-a44c-d2aca675900e
Dyllaa,1,JELEK,2025-09-25 09:43:17,,0,ae55cacc-d4ff-4547-8f01-bf97613b15d2
ULpann SRT,1,loading Mulu sialan,2025-09-25 08:28:41,,0,442bd356-828b-4faa-8043-f9e2b3ce6ed2
Rara Jungkies,5,okey,2025-09-25 07:05:43,,0,73d479ea-7c62-4d52-a2a5-2be58e0fafdc
Horas Andi Lao Aritonang,1,"aplikasi apaan nih. gk bisa login , gw blom punya udah si suruh login tapi gk , bikin akunnya juga ribet 🗿😒",2025-09-25 06:30:48,,0,fdba878b-92cd-498b-8862-72488359069c
Alfaris Ramadhan,5,Mudah,2025-09-25 06:02:13,,0,c27f7409-18c9-464f-a5df-104596e8ce3d
Feby Dwi ayu,5,"seru banget nonton disiniiii, ak kasi bintang 5 deh buat netflix, banya banget movie horor yang aku sukaaaa",2025-09-25 04:47:59,,0,45b763bf-a31b-4f7b-98ac-cd0b93241468
almiraaurelia0911,1,"udan masukin nomor WA gak bisa WA HP ku satunya lagi juga gak bisa, email udah ku masukin email 4x gak bisa masuk",2025-09-25 03:33:02,,0,58adf2a0-93b9-45fa-a025-05a4a0190b6d
OTP_Candra wulandari,3,kenapa tidak bisa berjalan netflix nya? saya gabisa nntn karena terus memuat. padahal internet nya lancar banget,2025-09-25 02:48:27,,0,209dcaf3-6225-4348-b9c2-4e207b570029
Jurdin Ogi Jurdin Ogi,3,tidak berguna,2025-09-24 23:39:28,,0,f38469b2-b5a7-4440-b60c-74f3f13d8394
Aku Aku,3,Aku masih bingung cara buka aplikasi nya keluar sendiri kebanyakan keluar sendiri,2025-09-24 22:10:51,,0,71af251d-ee02-4c93-8e5b-b68890169c1f
Azka Emun,5,driver,2025-09-24 20:11:17,,0,40439bdc-20c2-4f7b-8121-7901e7f64e15
Ananias_ Aje,1,"buruk, tidak bermanfaat, penyedot kuota internet, sumber virus",2025-09-24 15:46:07,,0,c3307205-b798-4e55-a9db-5d21f9ea6cec
Alfarizi Pria,2,gak bisa login,2025-09-24 13:19:55,,0,189dc22a-e3e8-42f2-9cf2-0e64dafe54d5
leonardo Nahampun,2,penuh dengan film korea dan film serial... filmnya juga tidak ganti ganti...itu terus bertengger.,2025-09-24 13:08:51,,0,f86fd9d5-1970-40c6-927f-c6ebf2712592
oji rojiki,1,"bug makin parah, lagi nonton keluar sendiri, begitu terus ampe kesel",2025-09-24 13:08:27,,0,08c41bf0-6486-48c9-bef2-3341f1908f4b
Nur Sabrina Elvhira,5,bagus jir🤭,2025-09-24 12:10:00,,0,7ef81816-b2dd-479a-9be3-b86fc2adef0e
Farel Eko.C,5,jangan donwload bre gk recomend login susah kek musang aplikasi tidak bermutu film gk lengkap hapus aja dari playstore.admin dongok,2025-09-24 07:28:06,,0,06bb0228-9591-4806-9ac7-2f08110f7b3e
Ans 0703,1,apalah baru daftar doang udah langsung disuruh premium. blom juga masuk ke menu aplikasi. sangat bintang 1,2025-09-24 06:49:15,,0,817361aa-6b1a-48ed-96d0-2b926e26a4f5
Herman Daniel Gomes De Carvalho,5,bagus sekali saya suka,2025-09-24 02:55:34,,0,1d2c42ab-c09e-402e-9e56-66656166de5e
Karimah ayu Wulandari,1,"mau daftar masuk email udah bener tapi katanya email salah ku cek berulang² kali tetep salah, aku ganti nomor telepon udah bener tetep salah",2025-09-24 02:05:46,,0,a6035114-4953-4cb5-a38f-679fe9eabfe6
Andre Sucahyono,5,iyesss,2025-09-24 01:47:25,,0,8fe8624c-1ddf-4c3d-938c-37e8327c3f7b
Fie Hera,1,RUGIII... BERLANGGANAN CUMA 3 MINGGU NGGA GENAP SEBULAN.. SERING ERROR JUGA,2025-09-24 01:31:28,,0,2aeabcfd-d935-4651-8942-6f4cb4903b41
Rani Kia,3,"apaan sih netflix belum 1bulan udh abis gak bisa nonton lg, heran deh",2025-09-24 00:40:28,,0,f6a9b9ed-4023-458d-87c1-cb152afa4d44
Jasuke Enha,1,"My account has run into a problem, and why does customer service make things so difficult for users? They always give template responses and don’t actually help at all. 💩💩💩💩💩",2025-09-24 00:05:41,,0,ead32b3a-b6b8-4132-a4e6-f28b0fa659dc
Lili Lili,1,Saat saya ingin login ke akun saya malah keluar udah 5 kali jadi bintang ⭐ satu dah makasih,2025-09-23 22:05:59,,0,d7ebbb4c-c544-450b-97c5-d73d8146994b
Alfian Damiansyah,4,"boros baterai, padahal udah pakai penghemat baterai",2025-09-23 21:51:15,,0,4f0fea09-3925-48a4-865b-03b9647dbd3a
rangga barata,1,bikin akun aja susah,2025-09-23 17:51:42,,0,66e627ce-8269-47c8-a680-f3e6d4b29efd
Steven Valianto,5,"Mantap, walau sering mendadak ada label leaving soon di film drama animenya",2025-09-23 17:26:29,,0,898aba4e-e988-4801-b0d0-2c15cdb42e9e
Valianto Dharma saputra,5,"keren banget, walau udah banyak film drama anime yang mendadak hilang",2025-09-23 17:03:57,,0,fb44352f-ed8a-46a6-9546-da8c6612b040
Sanss Brooo,1,parah banget saldo dana ku tiba tiba kepotong tanpa notif,2025-09-23 14:36:25,,0,269d0cd6-9164-49d9-b71a-a70ca74acffe
Asraf Satrio,1,terlalu banyak penipuan,2025-09-23 14:27:53,,0,b50ddcab-f018-4e67-82d9-c8c9ad5a9e13
Muha 7,2,"ga bisa dibuka, ga ada trial free.",2025-09-23 13:13:36,,0,aae597c6-cd7c-4af5-a257-fc96dbbab1da
Rijal Ahyar,1,"bayar mahal"" cmn kebanyakan semua film"" lama tdk ad film"" baru. sangat tdk rekomendasi, sebaiknya update",2025-09-23 11:08:37,,0,0bf47bbb-a3cb-4965-ae4b-26049f58c2dc
Muhammad Rahman,5,sudah langganan Ribet setting akunya,2025-09-23 11:02:27,,0,df7df416-45d6-4bf8-9ecf-439e18246eb3
Taufik Dwi,1,belum pernah downoload tapi kayaknya 😜👈 MIKIR KIDS !!!,2025-09-23 09:34:02,,0,22644778-6bbd-43b2-84ae-d7194838375d
Aditya Ruman,3,"langganan buat nonton film, eh film yang mau di tonton ga ada✋😹🤚",2025-09-23 08:30:38,,0,ca23f516-d829-4488-a9bb-da5bfe6b62ea
Chelsea Eugenia,5,saya suka aplikasi ini karena filmnya asli walaupun harus berbayar tapi saya tetap suka nonton di netflix,2025-09-23 08:25:59,,0,097133a6-aa99-4396-8392-3ac0b46e8e2e
F N,4,kenapa ya netflix saya memutar terus,2025-09-23 08:14:59,,0,a77d8c5f-30bb-48bc-9a83-2c5602e6c7e6
Reza Lazuardi,1,gak bebas nonton banyak aturan,2025-09-23 04:56:35,,0,610cdb5d-1170-4255-a508-c51af7ae5f59
nanda aisyah,1,lihat film selalu loading.,2025-09-22 22:38:44,,0,3b530398-1f40-4b7a-bd6b-7b684468df71
L Kids,4,min gimana? gabisa nonton anjir,2025-09-22 22:37:11,,0,6ca6ebbe-7a81-4241-ac3c-771154aff430
Naufal Abiyu,2,"coba putar videonya, ada suaranya tapi gambarnya gak ada cuma hitam aja",2025-09-22 22:12:04,,0,4f25e86e-7f0e-421a-a06f-b3ae4ca38e66
Jajat Movic,1,Sangat buruk,2025-09-22 19:47:54,,0,73d211e6-ce4b-4a77-a87a-8fb4fa85561c
Umar Bakri,1,"gk jelas bgt, sya mau pogin mengunakan sandi dan itu udh benar, malah pake kode masuk. sya perbaiki bintang nya stlah masuknya dipermudah",2025-09-22 19:45:08,,0,e782e96d-71ba-4060-8193-70667b3b1612
Intan Ayu,1,"ga bisa nonton semua acara netflix tiba tiba, udh di uninstall udh hapus data sm change ttep ajh ga bisa. pdhl kuota full jaringan aman. kecewa banget sm apk ini. pdhl posisi lg nonton film komang",2025-09-22 19:10:24,,7,bd964638-a3c9-4bc8-bed2-dea6db42eb6a
RS TV73,3,saya Rizky dari Indonesia tolong bahasa Indonesia di adakan di setiap filem jangan bahasa negara seperti tailan ada Pati bahasa Indonesia ga ada ..... bukan cuma translate tapi bahasanya tolong di buat bahan Indonesia,2025-09-22 19:06:19,,1,f9cb6a6a-c05b-40bc-8c10-077d9235ae2c
Moba Legen,1,udah berhenti langganan masih aja motong saldo anj banget netflix b2,2025-09-22 18:09:55,,0,3a5b53ae-a55f-4a56-af35-4f19ffa87027
Fratama Jossy,5,👍👍👍👍👍,2025-09-22 17:35:28,,0,81f95e77-6783-4d1c-9947-62d17048f2ac
Hardi Insta,4,"sinyal bagus , buka aplikasi streaming lain lancar tapi giliran bukan aplikasi ini malah ga bisa",2025-09-22 17:34:02,,0,6ebd35b8-cb8e-4080-bd69-ca83062d57c1
Rusdan Abdul wahab,1,ini kenapa udah bayar ga bisa login ?,2025-09-22 17:19:28,,0,8036a28f-7165-4a02-8ec7-8b4cea72a563
Josua yoel,1,sungguh mengecewakan,2025-09-22 17:01:00,,0,588aedd8-f877-42cc-894e-c20cf93daca2
Jhacka Boyss,1,"aplikasi ribet, login aja susah bikin pusing",2025-09-22 16:47:03,,0,117b78f5-9f6e-4d2d-8cf2-279285dcbd46
Dzaky Shankara,5,bagus banget,2025-09-22 16:44:48,,0,ae002101-5634-44ce-b8f6-b88dcf450381
Fauzan Zakaria,1,apk gjls udah dibayar tapi ga mau ke play filmnya padahal coba di apk sebelh malah lancar hadehh rusak rusak,2025-09-22 15:45:09,,1,a02fca04-7c59-4b80-8014-401305c0496d
tauhid tauhid,1,sinyal full kok gak bisa nonton,2025-09-22 15:17:44,,0,09503141-2eb2-47f1-9cbb-5252f78dcb05
Akbar legendary,1,hey bagaimana cara login padahal saya sudah memasukkan alamat email yang benar tapi tidak valid tolongggggggg😭😭😭😭,2025-09-22 12:28:23,,0,e4e55881-7ffb-4b3a-9f9f-6dad4cb12165
Dwimaya Sari,5,terima kasih ya telah membuat game ini kayak aku suka game ini cuman gaya bisa main GTA San Andreas definitive edition game ini bagus sangat terima kasih saya aku senang,2025-09-22 12:27:36,,0,c52107d8-f783-4735-9df9-0a27b888671e
Ilham Miftahurizki,1,celeng celeng ndaftar ae ribett,2025-09-22 12:23:15,,0,2999183f-9074-4f77-b21b-061251db6d34
marda suli,5,🥺🙏🏻tolong mohon update Netflix gratis..! gak perlu paket saldo dan gak perlu tambahan biaya... dan bayar terus..,2025-09-22 10:45:11,,0,47cef836-9432-43e5-b900-87e79d2156e5
Tegar Kusumaputra,1,APLIKASI GANGGUAN TERUSS,2025-09-22 09:38:25,,0,9c0ac984-9ec6-4fab-af38-cce81306957f
Renebaee,3,film tidak bisa diputar,2025-09-22 07:50:20,,0,93dacc5a-da4e-4297-b33c-ecd391652049
Subrata Erlang,1,"saya sudah memasukan sandi yang benar,tapi masih salah dan gak bisa masuk.",2025-09-22 07:48:53,,0,bc72bc7a-f26c-45f3-933c-a23d1051eec6
Makarov,4,sukses,2025-09-22 06:54:03,,0,140c6530-8042-4922-819b-aa352744bc30
Budi Haryanto,5,Filmnya bagus bagus...,2025-09-22 06:42:07,,0,2602083d-20c3-44df-a55f-c8a77058969d
Ferdy Silvera_666,3,Aplikasi For Watching Film2 Kerrreennn Terbaik No. 1 Di Dunia .!! 👌💯😎 But Why Sejak Awal Juni 2025 Film2 HORROR Baru Yang Tayang Kualitas'nya Jelek2 Semua .!!?? Please Tambahkan Segera Film2 HORROR INDONESIA TERBARU Seperti => LABINAK ( 2025 ) + QODRAT 2 ( 2025 ) + JANUR IRENG ( 2025 ) + PENJAGAL IBLIS ( 2025 ) + JALAN PULANG ( 2025 ) + PEMBANTAIAN DUKUN SANTET ( 2025 ) + DENDAM MALAM KELAM ( 2025 ) + PENGEPUNGAN DI BUKIT DURI + GUNDIK ( 2025 ) + MUSLIHAT ( 2025 ) & PAMALI - TUMBAL 🤘🥁😎,2025-09-22 06:11:34,,0,ac9bdae2-4054-4da3-8fe7-58748fd00f43
rini mulyasari,4,kok film2 yg didonlot tdk ada bahasa indonesianya lgi... tpi kl nonton langsung ada.. ini gmn ya?? abiz upgrade loh,2025-09-22 04:32:32,,0,1557ed30-33a3-4a92-bcd1-f0709bcf9e0b
Chisikuin Ita,1,"baru tau kalau netflix filmnya ga lengkap.. tujuan awal daftar paket netflix biar bisa n9nton yg gbsa di tonton secara gratis.. eh malah yg ada di gratis ga muncul di netflix. Jelek, ga rekomended, film dikit, saran yg mau berlanggan mending gausah, nyesel krn gabakal nemu film yg lu mau",2025-09-22 04:32:03,,258,66ce797b-5112-42ec-9891-94e30dc2826f
Juan Damongilala,1,subtitle nya kok ngk ada sihh,2025-09-22 03:55:11,,0,ab65b37e-c175-4abb-9314-6c7f342ef77c
Budi Astuti,4,Aw234s awal 2 w22w we see Aw WW2 www3 we can w a w2 we see,2025-09-22 03:45:24,,0,8ce37f8a-1d78-4ee3-9083-c9e4f6620ea0
charina 21,1,"netflix nya kok setelah di download subtitle bahasa indonesia nya gk muncul ya, harus ntn streaming, pdhal sebelumnya bisa",2025-09-22 03:37:59,,0,46a8e580-b308-41be-8c76-46bbe78b7432
Fahri,1,gjls bet stuck loading video trus padahal jaringan lancar,2025-09-22 03:33:54,,0,a933928d-1638-433d-9d86-a0320ae546c1
Umar Habibi,3,"saya punya saran,untuk server Mesir atau dimanapun tolong di masukkan film Indonesia nya dong,saya pengen nonton ""norma"" tapi di Netflix Mesir gaada plis masukin 🙏",2025-09-22 01:36:06,,0,02b887ad-741e-41d6-a24c-821b042d3492
Kiran Manubulu,4,Sangat baik,2025-09-22 01:34:41,,0,ecdf94b7-bdcd-41c4-bd82-2df24cd992db
Hanz Branz,1,apk sampah masak mau login atau daftar aja harus bayar apaan ameh banget. kocak,2025-09-22 01:33:50,,0,78abbae9-1266-4927-8bc8-ffcfbbee4cca
Abdul Rifki,4,"saran, untuk film terbaru atau episode lebih baik di tampilkan paling atas, jngan di campur yng udah lama tapi ganti cover iklan",2025-09-22 00:35:22,,0,4cd91b1b-f50a-40a2-ae31-f02343deed07
azkayRatu,1,"Call center buruk,tdk ramah. saat ada kendala no solution pokoknya. Hati2 ges kalau berlangganan, 1 atau 2 hari kmudian dibatalkan pihak netflix alasan ada aktivitas mencurigakan, murka nya tiap diminta bukti aktivitas yg dimksd itu spt apa mereka gamau ngasih. Jujur bingung aktivitas apa pdhl gw cuman nonton doang. berlangganan jg sesuai prosedur trs dmn letak aktivitas itu? alhasil dana yg udah masuk gbs kembali ges alias hangus. Pdhl aplikasinya bagus bgt tp sgt tdk profesional. sangat kecewa",2025-09-21 23:16:19,,0,2245e692-711a-418c-b8a3-049f2317502b
TIK TOK APKING,1,uuuuuuuuuu nefflix goblokkkkkk aduuuuu login susahhh daftarr susaaaaahhhh Netflix sakit jiwa mintak jantunggg plissssss banget hapus apk ini DARI GOGEL Playlstoreeee buang buang waktu GK ada guna ni apk 🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬,2025-09-21 22:57:28,,0,4b62e501-473c-4b37-ac16-80dfe47e69dd
Mian Mian,5,PESULAP MERAH OFFICIAL GTA SAN ANDREAS 🪄🎩,2025-09-21 21:30:55,,0,d27deae0-82fe-445a-b93e-f427a31aaf09
