Ulasan_Bersih;Labels;
buset baru daptar sudah kehilang saldo pertama akhir bayar rugi kalau terus;;
pemaksa jelasin secara gamblang kalau melain lewat gmail;;
dapat memutar film infinix pro sudah coba berbagai tetapi tetap bodoh kali;;
sangat jelek susah masuk tadi masuk masuk sampe sekarang;;
sinyal lancar internet lancar ngestuck lobby gabisa dipake buat nonton padahal pembayar lancar;;
semakin buruk harus peningkat film layan;;
payah sudah berlanggan satu tahun episode gabisa tonton drama the fiery priest;;
ternyata sudah aktif sekarang sudah beli pake melalui telkomsel kendala login tiap login alih jenis berlanggan padahal sudah beli;;
nonton banyak orang login;;
masa masuk sandi salah terus padahal sudah;;
keren;Positif;
salamun alaikum bimashobartum sisi allah;;
kenapa akhir flem sakamoto days cari padahal sebelum;;
film tampil sangat bagus kecewa hasil penelusur banyak film cari;;
terlalu ribet login padahal sudah bayar malah balik halam sebelum sudah coba sama;;
terus sudah bayar buka lewat box payah kalau lawas lawas semua pelangg anggota mempunyai perangkat box terbaru berpikir lebih jauh sudah bayar buka box parah;;
bagus;Positif;
sangat bagus hibur semua orang;Positif;
keren;Positif;
daftar susah;;
membayar langgan pakai gopay saldo gopay sudah terpotong login dikasih link disuruh bayar pembayar ganti shope pay akhir login masalah saldo digopay sudah terpotong dikembali pihak gopay sudah membayar disaran gopay buat membatal pembayar dihubungi hanya chat membantu sama sekali membayar hingga melalui saldo gopay saldo shopeepay;;
sudah bayar nonton burik;;
sudah registrasi tetap streaming film sudah ubah tetap mohon bagi registrasi dipermudah;;
benerin error gabisa ditonton padahal sinyal lancar;;
login susah kali;;
gabisa login;;
gimana sandi tulisan salah jelek sudah coba berulang kali juga salah nama nonton terbesar banyak bug kocak;;
masuk buat kecewa;;
aelah apklikasi gue diambil gbisa msuk hrus daftar sebelum sudah daftar sudah bukti transaksi malah gbida msuk anjir apk gaje hati kali semua jeba;;
ingin memati langgan pembayar shoppy ingin mengubah langgan data seluler diubah pembayar sudah mencoba tuk seki lama harap bantu langgan terima kasih;;
cocok nonton sini;Positif;
sangat susah mendaftar pusing bulak balik crome selesai selesai malah balik awal sar buat susah buat login pindah apk sebe iqiyi viu atw wetv lebih bagus;;
sorry mulai awal pendaftar sistem buruk mempersulit bukan mempermudah harus dibiar login dulu sampe selesai kalau sudah login nonton baru bayar mah masuk belum belum tau dalem sudah kena tagih kalau sudah bayar kegagal login gmna film film dikehendaki ternyata engga tersedia baik gimana rugi sudah bayar;;
very good;Positif;
pke suara asli ters dikasih translate dibawah dubbing jelek merusak film;;
neflix bagus film film suka tonton hampir smua neflix standar kualitas juga bagus jernih;Positif;
login sandi salah terus padahal sudah;;
amit amit buka masuk login wajib berlanggan berlanggan login daya buat ngecek film aneh;;
konfirmasi pembayar langsung potong saldo parah sekali;;
dapat menonton download;Positif;
langgan makin lama pelayan makin buruk;;
langgan nonton wednesday pencari pun kenapa;;
bagus;Positif;
padahal baru bayar ribu nonton pake perangkat malah kebanyakn perangkat malah taikin harga cum min min gimana upgrade malah naik harga kecewa;;
baru bayar tadi siang kenapa masuk perbaiki;;
film payah;;
berlanggan tiba kepotong perminta refund juga tolak apk sebe minta refund masih;;
film tiba tiba hilang bilang pakai proxy vpn film tonton better cal saul hilang terus film harus restart logout login hapus terus download ulang hapus data cache kadang berhasil juga kesel nonton sudah bayar ribet gini habis series auto berhenti berlanggan mencari jawab permasalah juga bingung kemana solusi;;
mantabs;;
dipake device padahal sudah log out smua sama;;
jelek;;
terlalu ribet daftar;;
apk elite login sulit login ribet kek ngurus surat tanah;;
bet muter muter sudah bayar masi ribet ribet kecewa afk muter muter ganti ulang sandi sudah ganti ttep ganti kirim link baru beberapa menit lalu pencet sudah kedaluarsa minta kirim kedaluarsa gimana pusing;;
tiba mendownload padahal bagus memori juga bnyak biasa sangat lancar tiba dowload sudah hapus download kembali berulang kali sudah restart memasti wifi aman juga sudah ntah salah mohon bantu sesama costumer lebih paham terimakasih sebelum;;
pelayan buruk dapat membantu sama sekali;;
tiba suka berubah grafik low padahal sudah bayar sar film lama tayang;;
bayar lewat mytelkomsel standar hanya beri dasar perangkat;;
good nice;Positif;
gua diambil netplik;;
sebul play film gabisa loading terus juga kenceng;;
video sexy gan penting berasal tak lama sete sexy paling penting sebuah perusaha swasta indonesia ensiklopedia sama cara lain;;
gabisa login jir;;
ribet buat login;;
sudah bayar sudah bayar kenapa gbsa ditonton video nyesal bayar balikin fiture lama nonton video selalu eror layar hitam hapus apk biae banyak orang orang dowload buang buang uuang;;
dafar gmana;;
loading;;
buat gatau berbayar berlanggan;;
sandi sudah salah gabisa masuk;;
error loading;;
uda beli langgan masuk selalu gabisa sandi uda beli langgan amit;;
film tonton ketika berhenti lalu ingin lanjut suka menghilang;;
maaf kenapa daftar putar tonton tetiba ilang beranda buka perbul bayar;;
gimana login padahal sama sandi sudah malah;;
eror;;
kalau niat nayangin animasi mending usah tayangin satu series isi eps tayangin 20eps mahal lengkap pula vinland saga fruits basket dua series eps per season lengkap;;
serius awal daftar langsung berlanggan gile pemaksa;;
siap;;
terburuk mengapa kali menyemat fitur kualitas vidio tanpa perlu memandang perangkat keras lunak;;
tambah film horor indonesia;;
masuk padahal sandi jelas apk download;;
jelek sudah bayar masuk kau balikin kalau dipake;;
padahal nonton sendiri pake sendiri profil masa keterangan terlalu banyak perangkat menonton saat;;
bug anjaay tiap play video muter muter wifie kenceng sudah hari play video muter muter benerin dulu bug;;
jelek anj apk;;
pelayan customer service super duper cepat saldo shopepay sempet terpotong gara padahal sudah nonaktif waktu chat langsung respon uang kembali terima kasih banyak;;
putar vidio padahal sudah bayar gimna perbaiki;;
apk gaje gabisa login padahal sandi sudah;;
sudah daftar sudah punya sudah bayar nontkn film muter sampe setengah jam padahal oke kuota aman;;
masuk membuat juga jelas;;
login susah amat;;
apk bagus kasih kecepat vidio sampai kalau sudah ntar kasih bintang;Positif;
sudah batal langgan kenapa tetap terpotong saldo secara otomatis;;
recommended apk;Positif;
terjadi masa saat memutar video sudah dicoba berbagai cara kadang lancar kadang kalau gini terus mending stop berlanggan;;
notgood;;
bagus suka nonton drama;Positif;
buat nonton muter padahal sudah ganti pakai wifi tetap zonk;;
sudah bayar gabisa nonton keterang pembayar tunda sudah jelas sudah bayar;;
apk niat ajg dri tdi kesalah hapus apk dri play store nyusahin gblok login kya lewatin jembat siratal mustakim kntol;;
kenapa disamsung a06 gabisa putar film;;
masuk netfix padahal sudah memasuk masuk juga;;
aman buka lain lancar neflix buka film malah muter;;
bagus;Positif;
bagus;Positif;
daftar kurang lebih lalu abis login sampe sekarang september login selama 3bul saldo otomatis kepotong hampir 200ribu njir jelas mending bagi download dipikir pikir kecewa login kepotong otomatis saldo;;
sebenar bagus banyak film dubing mempermudah semua lancar lancar walau ketika coba log masuk terlihat sandi salah padahal benar restart terus kalau benar masuk mending pakai ganti kata sandi rada ribet juga film terlalu lengkap bagus keren lumayan semoga perbarui memperbaiki bug perbanyak film;Positif;
bagus jir minus spongebob merasa kurang gapapa penting spongebob hore like spongebob lain kali adain doraemon series movie doraemon dub indo ngerti bahasa jepang soal;Positif;
susah login;;
knpa buka padahal prangkat terhubung aneh semenjak perbarui malah muncul notifikasi terlalu banyak perangkat;;
pembayar ubah shope pay dana tetap potong shope pay bayar doble;;
stuck loading walau sudah didownload tetap terputar hapus data relog bah download ulang tetap sama;;
baru coba sudah payment vidio gabisa play muter muter loading kecewa;;
orang bayar ribet gabisa padahal tinggal potong saldo ribet minta ampun nol;;
baru memperpanjang keanggota saldo sudah kepotong masih belum kata pembayar tertunda;;
aneh jelas beli masih tetap kualitas jelek;;
jujur kecewa karna beberapa series seperti tawog hanya musim sedang asli membuat penonton menjadi tergantung beberapa seri juga sudah dihilang seperti family guy overral film lumay lengkap;;
sudah melaku pembayar tulis pembayar belum setujui gimana;;
ribet masukin slah mlu apk rusak;;
leg bug soal login muter terus tak tungguin sampe ketidur bangun masih muter kocak;;
bayar cum buat liat loading;;
sudah minggu nonton loading terus menerus kualitas gambar pecah sudah download ulang pun masih begitu cape berasa rugi;;
kualitas oke gada kecepat juga kebanya film tonton gada kualitas sudah berlanggan malah dikasi kualitas minim burem;;
kenapa sya sudah tdak berlanggan masih dipotong woi;;
masuk kenapa nonton dikeluarin muncul teks terlalu banyak menonton padahal sudah nonton tadi nonstop nama adilp;;
guna;;
sangat bagus;Positif;
sangat nyam minim jeda ikl pengalam menonton kekurangan hanya film tersedia cenderung tak lengkap terkadang satu series film sudah tak tayang film seringkali ngefreeze mengurangi rasa senang;;
daftar anjir;;
buruk;;
gimana masa banyak film gaada padahal nonton the nun the conjuring willy wonka the chocolate lain lain sudah bayar masa kaya gini;;
buruk sudah uninstal;;
berbahaya sekali sistem sekarang sudah melaku tinda pembatal keanggota demi menghindari tagih bulan katta sistem sudah berhenti knapa diakhir tanggal saldo dana tetap dipotong smpe belanja kebutuh anak2 memutus menghapus secra permanen kalu juga bawa ranah hukum;;
pake vpn ato wifi pake data seluler notifikasi bahwa pake vpn nonton drama favorit tiba tiba judul drama favorit hilang padahal bayar gratis;;
jelas sudah beli masak salin link salin link;;
simple mudah;Positif;
tadi coba login buat baru selalu selalu diarah pembeli auto delete kalau;;
the movie good just seems like sometimes the movie stops for about seconds only the sound there and where the anime ranking kings like that anime and want watch again but not there wasn there one before;;
jelas pendaftar susah pake salin link masuk;;
kesel kadang tiba2 film ditonton suka ilang dicari judul muncul aneh padahal marathon anime tiba2 ilang film gaada pencari;;
ribet login;;
ampun tai gagal server juga sama;;
padahal sudah bayar bulan nonton;;
bagus;Positif;
jelek padahal login perangkat masak download kata perangkat download;;
infinite castle sia sia beli;;
loading begitu lama membuat kesal ngabisin waktu;;
ingin batal dana terhubung karna selalu mencuri saldo dana tanpa konfirmasi padahal pernah membeli bah menonton netflik;;
daftar bingung soal harus isi kata sandi maksud sudah isi kata sandi juga sama sekali;;
ter ribet sejagad raya;;
nda jelas nda berhenti untul berlangg nda login;;
bagus sekali menurut cocok;Positif;
buka;;
tiba tiba akses padahal game terhubung masih dimain sinyal juga bagus sudah coba mulai ulang uninstal instal ulang masih belum bagaimana solusi;;
gila daftar susah sudah daftar sudah bayar tiba keluar login pasword sudah malah masuk keterang sudah banyak upaya masuk gilak apk tolol;;
gabisa login lang pertama salin link terus buka link lewat chrome disitu baru muncul opsi kalau maih bingung lihat tutorial youtube;;
film tonton tiba2 ilang pencari juga muncul;;
kesel sama baru kecewa payment sudah masuk nonton ngambil balikin saldo gua metode pembayara muter muter;;
gilira login sistem sibuk aneh;;
sudah langgan error login kecewa sama buang buang uang sudah langgan mahal error nyesel pake;;
anime anime rame ilang kya one piece kaiju server indo pake sever jepang baru kluar subtitle indo;;
live;;
apk sussah kali masuk dontload nanti nyesal;;
iloveyou;;
susah kali padahal sudah benar semua malah gabisa masuk;;
error banyak drakor hilang;;
lemot daftar juga lama;;
sete drama sudah setengah tonton malah hilang akses;;
masuk;;
zyirizal netfelil fonlokok;;
banyak pilih film bagus murah;Positif;
pake;;
download gta san definitif;;
daftar tonton hilang semua kenapa padahal bayar mahal film tonton daftar semua hilang;;
setiap nonton terjadi error sudah file game gbsa bagus;;
bagus;Positif;
sudah bayar 65ribu lewat shope pay saldo sudah terdebet kenapa masih ditangguh alas masa pembayar hilang uang 65ribu sial jelas balikin uang;;
permudah pendaftaran ribet amat perkara daftar bayar padahal kolom sudah keisi semua saldo sudah lebihin juga males;;
capek anj jelas setiap pembay baru selalu keterang dompet digital telah diguna lain kocak tertaut dompet digital bayar masak setiap bayar langgan harus perbarui metode pembayar ribet anj;;
kenapa semua film putar sudah bayar lama kelama gini jelas mending pindah sebe;;
ubah sangat ribet;;
apk miskin sudah bayar langgan gabisa dibuka terus saldo berkurang setiap padahal sudah gabisa pake hati hati download;;
sangat memuas;Positif;
bayar pakai ovo susah minta amp;;
zat dapat donna;;
bgus bnget ksih lima bintang;Positif;
vidio sudah download gabisa play;;
login susah membuat emosi;;
susah msuk sudah daftar segala macam ttap mntak msu sandi;;
akses login menyulit;;
padahal sudah bayar saldo sudah terpotong tpgak log gimana;;
bagus nonton squid game menurut rekomendasi lengkap semua film;Positif;
ganggu yerus padahal wifi baik2;;
login;;
perbaiki daftar susah;;
kenapa sama sama;;
kenapa film sukai semua menghilang seperti demon slayer sakamoto days;;
ribet ama nonton film lokal dipersulit pendaftar sudah membuat ribet;;
bgai ktnya pmbyran september akhir malah minta waktu;;
bermasa diputer film padahal sudah segala cara buka lain lancar;;
best;Positif;
sudah login google knpa masuk kira google salah perbaiki gabisa bkin google knpa jawab;;
streaming terbaik;Positif;
sudah donwnload sudah langgan tonto rugi;;
seru sudah download berlanggan saldo malah potong;;
emang kalau login harus berbayar jelas;;
film bagus bagus customer service top barus baru sadar bahwa kedebet otomatis padahal sudah batal sebelum pembayar lain direfund terima kasih banyak atas profesionalitas kedepan kalau kesempat pakai;Positif;
apk penipu gua sudah batalin langgan masa otomatis bayar anjg gua balikin tai apk haram ajg;;
jelek jelas kecewa uda kalong guna kecewa kapok;;
kenapa keterang pembayar lunas gmail sedang saldo sudah potong;;
mengutama kenyaman pelangg hanya karna qris dibuat oleh china maka netflik pake;;
sumpah parah notifikasi banyak pakai padahal pakai sama sekali;;
perangkat dioperasi;;
bantu saldo sudah terpotong belum juga bergabung;;
terjadi kesalah saat memutar video;;
muter2 pakai;;
daftar ribet padahal langgan;;
jelas harus pake sandi pake dateng buat nonton buk cari masa ayo usah pake sandi segala penting tau terus kalau lupa membuat mending kasih bintang kalau;;
jelek;;
kenapa dapat unduh selalu tertunda terus;;
halo admin tingkatin kualitas film perbanyak film film baru masa bayar dapatin sesuai sama bayar lama nunggu film terimakasi;;
tonton pake data wifi memuat terus masa cum nonton trailer jelek;;
kurangajar memotong saldo tanpa persetuju custumer perjanji langgan;;
ngelag gimana;;
terbaik;Positif;
asli parah sumpah daftar harus bayar kaga ngotak kek pemeras semua harus bayar sudah nnton kadang lag kacau emak apk zam sekarang;;
bagus;Positif;
bayar saldo terpotong pembayar tertunda nonton nunggu maksimal jam;;
sudah membership malah ngambil;;
rempong skli daftar harus bayar pula;;
busuk susah diguna;;
perbaru episode lama kaya lain apk lain sudah episode baru sinih mah lama jarak tayang sama lain;;
bagus eror;;
gabisa nonton lelet;;
tiba2 film exclusive hilang cari padahal produksi netfix juga tau bug sudah langgan juga membuat kesel;;
kenapa sekarang kompatible perangkat proyektor awal semula didukung sekarang padahal udahlanggan;;
bagus kartun kartun;Positif;
uwow;;
apk kalau semisal tugas dosen juga bakal ogah buat download apk keluar sndri sudah masuk kalau masuk harus ganti katasandi diganti terus opsi pakai sudah malah masuk apk ngelawak kah pantes rate turun drastis;;
keren;Positif;
masuk ribet auto unistal pengen nonton susah;;
sangat baik;Positif;
kenapa berbagi layar dasar pelit;;
susah masuk kedalam;;
masuk sama sekali;;
sangat bagus cepat banyak pilih film nanya muncul demon slayer infinity castle semoga muncul;Positif;
masa daftar uda masukin gabisa lanjut tulisanny maaf terjadi kesalah kesalah daftar kesalah;;
kembali tampil sebelum;;
dibuka bagus apk nape kaga dibuka;;
diperbaiki kenapa smart susah buka;;
terbaik;Positif;
seru nonton film agar nonton baja kenapa setiap nonton loading lama pake percuma uda bayar buat berlanggan ditonton padahal kuota wifi;;
tiba tiba tanggal agustus nonton dungeon meshi jam tiba tiba film gada gabisa putar beberapa anime tonton tiba tiba gada padahal nonton keluar bentar masuk gada aneh emang ngeselin padahal dikit kelar;;
subtitle indo jauh arti sebenar bahasa jepang buat subtitle dikorupsi gimana;;
kenapa sudah berlanggan masukin maksud kata tak terdaftar harus pake percuma;;
jelas tau tau keluar masuk padahal langgan setiap pemakai pribadi;;
warna setiaw;;
bagus banyak film;Positif;
sekarang error;;
film kurang lengkap contoh the raid redemption1 boyka undisputed juga tambah kalau biar belum vvip melihat isi terlebih dahulu sebelum harus membeli vvip agar melihat isi film dicari cari meminimalisir pengeluar;;
film naruto suka ilang ilang min gimana;;
fully entertaint lot choice movie documenter and other channel;;
dibantu kenapa bayar pakai ovo keterang sudah terhubung lain padahal selama bayar langgan bulan selalu pakai ova nomor sama;;
keren;Positif;
sudah dipotong uang masuk terjadi kesalah terus;;
bah buat;;
daftar susah payah;;
baru daftar baru minggu pakai kenapa nonton bilang harus bayar bagaimana kah;;
gobs lalajo kudu aya kouta unggal potong wae strees;;
good;Positif;
gimana cara daftar ribet padahal sudah selesai malah balikin menu awal film menurut paling ribet bandingin film lain jelas cara daftar benar;;
hapus memori kebanya;;
dibantu langgan kenapa masuk dengam tau jelek sekarang pokok buruk sekali;;
film horror sedikit sekalai;;
banyak anime season tertunda film wednesday season pernah lengkap sekarang lengkap payah;;
sudah langgan menonton film;;
sekarang bagus kali ganggu menjangkau layan;;
persulit sekali saat ingin mncoba login;;
ampas macem abal abal gini menyesal belik kualitas film gabisa setting sendiri film bnyak kurang kalau nonton episode bnyak ribet carik astaga itung sede;;
bilang mending ganti error terus bilang burik juga berapa monitor pantes burik kalau masih keliat gtu ngerti soso koar koar;;
kasih bintang dulu;;
bantu kenapa ditayang selalu memutar film jal bagus bagus;;
ratus masuk netflik daptar dibuat sulit alas sandi salah salah bnyak bacot;;
anime banyak hapus;;
jelas sudah punya bsa masuk salah salah ribet;;
teribet;;
bagus buat hibur;Positif;
parah sudah langgan ternyata baru episode drakor sudah buka kaaco buang;;
login sudah gmail sama salah;;
seminggu sudah dipake tiba2 balik lama history nonton lama history drama baru ditonton kete kalau dicari buat nonton serial lain juga episode keluar kalau segera buk gretong;;
rencana membuat mahasiswa kah;;
sya cukup lama berlangg neflik lama2 sya bosen pilm itu2 monoton kebanyakn drakor coba pilm movie kurang komplit jdi sya berhenti;;
sudah dftar membayar bug sesuai ekspetasi pula;;
masuk netflik;;
saldo kepotong sendiri padahal baru download gaada konfirmasi ngeselim lemot minta ampun;;
putar film aneh buruk sudah mash;;
masa harus restart nonton;;
ribet amat buat masuk;;
mohon perbaiki masa teknis loading sebelum menonton selalu delay memuat disemua film cek pengguna pernah masa lemah dirumah semua stabil mohon pihak memperbaiki masa tersebut membuat pengguna resah terimakasih berharap perubah lebih baik;;
hai min nanya padahal pakai vpn kena vpn sudah cari cari kete vpnya tadi kek min soal;;
kasi reting tinggi kali liat pendaftar aneh;;
jelas padahal sudah kasih masuk benar bilang menemu alamat jelas jelas sudah benar tolol jelas buat buat kalau dipakai nonton hapus play store jelas;;
coba dulu;;
taik daftar sandi salah busuk;;
kenapa susah kali masuk nyesel donlawd hapus;;
good jobs;;
best;;
kadang keluar sendiri terus tiba tiba masukin jelas;;
dibuka harus bolak balik instal uninstal;;
bayar sekali belum juga nonton sudah pandu buat restart alhasil data pembayar hilang disuruh login bayar nonton kalau dana dikembali setidak sistem diperbaiki kali bayar gabisa akhir kuhapus;;
sudah bayar saldo sudah kepotong kenapa nonton;;
setiap nonton episode keluar terus berasa nonton baja padahal bayar;;
seperti anda terhubung mengguna vpn bla bla bla padahal anjir tonton langsung ilang;;
sangat bagus menonton drama drama suka semua disini apalgi drama korea sangat lengkap sini kualitas juga baguus the best pokok;;
kurang kumaha alus lemot;;
apk jore patut;;
kasih fitur mengganti kualitas secara manual provide feature change the quality manually;;
memuat hari bayar fungsi;;
good luck;;
stupid logout sendiri padahal sandi sudah benar;;
sangat jelek;;
daftar susah anzing;;
terbuka;;
eror jelas tiba buka padahal sudah langgan perbaiki;;
uninstal bgmna gooplaystore beresin payyaah;;
dapat menonton beberapa film aneh sekali;;
makin kesini makin bagus tiba suka keluar sendiri tengah nnton sudah coba masuk riwayat tonton sudah pasien search pencari juga kesel;;
login ribet;;
kalau niat membuat buat;;
butut untung;;
bagus;Positif;
overal sudah ditengah video freeze screen adegan terlewat sudah coba nonton film lain pun sama seperti padahal internet samsung segera perbaiki;;
gua kenapa jir masa riwayat tonton ilang tinggal film sama movie dicari juga belum selesai nonton anime;;
abis dibayar malah bilang pembayar bermasa;;
sekarang suara selain dialog mengganggu;;
apk error2;;
masa terus menerus padahal baik data;;
kasih buk karna tetapi sebab pelayan servis memukau satset langsung kelar masa puas terima kasih;;
buffring nonton padahal lancar perbaiki;;
tagih sudah bayar sudah kemarin kenapa film diputar suka bintang satu kah;;
pengalam bagus waktu ngebagiin kaya dulu;;
bagus pdhal sudah hapus apl masih notifikasi bertransaksi uang diapl dana sudah dikirim pdhal sudah berlanggan apl sudah dicopot masih keambil dasar nonton pernah disruh bertransaksi;Positif;
saat login masuk sudah masuk nomor telepon masih kirim juga kesal;;
bagus suka nonton;Positif;
ribet syarat masukny gagal terus lagih aneh;;
jelas nie bayar tanggal nie baru tanggal sudah bayar memang biadap seharus tanggal juga buk tnggal babi;;
good;;
sebel bget upgrade baru coba grade bisa2 pdahal memori sangat2 mendukung sperti harus hijrah innya;;
makin jelek sudah akses beberapa perangkat seperti dulu sudah terputar perangkat lain;;
sedikit pengalam gua awal download apl aman sehabis transaksi gua sukses terkirim apl malah eror nentu gua kena tipu hubungin gua pihak apl pake uang kirim gmna;;
apk bagus buat nonton film masalah gimana cara login;;
sangat bagus buat nonton film sangat banyak menghibur bagus barang bro;Positif;
bad gabisa masuk kalau harus beli dulu baru buka apk makin ribet bad beda sama dulu sekarang malah lebih jelek;;
hai masu buat one piece dilengkapin episode keatas langsung episode ribu;;
rusak diih kocak masa orng nonton tiba jdi kaya kaset kusut kocak kocak sia berlanggan berlanggan terakhir bos next gaa pernah;;
buka hari knapa kesekiam kali akses;;
perbaiki kalau login incor malu;;
kenapa dapat terhubung dengsn padahal selalu bayar tepat waktu;;
like;;
gabisa login padahal sudah bayar;;
sudah mahal susah;;
kenapa beberapa hari mauk login dapat terhubung terus buata langgan nonton parah;;
moso nonton terhubung terus ngerjain agar bayar nonton;;
sudah tahun pake pernah bermasa eror jelas;;
dibuka applikasi browser laptop bayar mahal bsa dipke kocak kocak;;
susah daftar;;
good;;
sinyal hanya bagus wifi namun dapat neflik saat mengguna data kasih bintang menemu solusi harus mengguna sinyal wifi;;
masuk eror keluar notifikasi coba sudah berlangsung satu minggu sudah laku reset sudah dilaku uninstal instal;;
tampil lanscape mendapat ful screen masi layar hitam sisi kiri ponsel;;
sedang masalah masuk padahal mumpung libur nonton;;
masa;;
kenapa netflik eror kata pake vpn padahal pernah pake;;
sekarang kenapa keluar notifikasi dapat terhubung terus sete dipake kalau habis restart juga sete nonton beberapa film balik notifikasi sebelum;;
sudah berlanggan film diputar alas vpn pernah pakai vpn;;
neflix error terjadi kesalah donk server perbaikin uda langgan kalau tonton rugi;;
error bsa masuk sampah;;
buat pihak sudah berlanggan saldo shoppey berkurang kembali uang;;
jelek;;
terlalu banyak drakor padahal semua orang pengen nonton drakor susah nyari2 drama2 negara lain home selalu ketutup sama judul drakor berderet2 membuat eneg;;
apk penipu sudah stop langgan masih kena potong;;
sebelum sudah bagus sete malah banyak film series hilang searching aneh;;
masuk appk lol;;
gento;;
top;;
punya keterangan terhubung terus;;
susah masuk error terus padahal pakai gawai lain sama oke2;;
jelek;;
sumpah sudah berlanggan eror membuat kesel;;
baru abis diupdate gabisa masuk sudah restart jga masih gabisa reinstal login ulang terjangkau halah pen nonton ribet amat;;
disuruh sudah masuk keluar padahal baru perpanjang keanggota;;
wahai pemilik komen sini buk ingin mengkritik ingin meminta hadir kembali kartun shimmer and shine season sangat memohon anda semoga anda membaca;;
apk jelas cari pencari malah kete film cari;;
parah buka padahal sudah bayar perpanjang merasa dirugi sangat sudah ikutin atur hapus data sekarang malah eror masuk mencuri uang nama;;
pindah samsung poco kenapa history tontonan berbeda pilih film pun berbeda melanjut tonton sebelum samsung;;
sudah kamis agustus net flix terbuka kata terhubung sudah setiap sebelum jatuh tempo emai masih sama terbaru memori internet hello kenapa membuat kecewa;;
jelas kek baikin baek sudah gonta ganti masuk karna valid asli jelas tutup sudah;;
kenapa log tiba log out baru payment langgan;;
keluar sendiri malah login;;
sudah kepotong login ngadu help center jawaba bot semua cacat;;
juga seru tak tahu cara;;
padahal koneksi aman tetapi kenapa dapat terhubung terus menyedih;;
coba sudah sinch the movie tambah juga series pasti lucu;;
kenapa diakses sudah hari muncul tulis dapat menjangkau;;
kacau;;
banyak episode kurang contoh one piece nonton ampe episode terus tiba tiba langsung lompat arc;;
susah login;;
abis kenapa;;
seru;;
kenapa selalu muncul dapat terhubung neflix padahal langgan aktif;;
napa nonton tulis kira pake vpn padahal sinyal lancar lancar coba hapus download log baru 2hari langgan hadueh;;
sudah 2hari diguna tulis error berjal tauk;;
sudah bayar masuk sampah hapus plystore penipu;;
kenapa film anime drakor banyak hilang bah masih going continue watching juga ilang login gagal terus info error kenapa;;
terhubung;;
sangat dapat menghibur hari hari keluarga;;
eror masuk terus film kadang suka hilang;;
masa terhubung padahal sudah diperpanjang;;
masuk daftar;;
kesalah sudah bayar juga tetap salah;;
film sedang ditonton tau tau hilang payah error;;
banyak ilang pdhal baru kemarin bayar baru ilang semua aneh pdhal sudah lama pke baru ngeseliin membuat fak mood sma;;
beberapakali download televisi buka hanya kemuadi tulis eror payah;;
daftar ful via browser hari instal apk login menghubungi pusat bantu solusi menghubungi nomor cal center bahasa indonesia sudah bayar nonton pelayan customer care jelas tanggap;;
bad guys dua demon slayer infynity castle belum;;
banyak masa masuk terus harus nunggu nanti mending hapus artiker pusat bantu juga kaya menyelesai masa;;
pembaru malah login;;
kecewa berat ngak kumplit suka telat rilis anime baru baik episode anime baru mending nonton baja kalau;;
kenapa susah login;;
bagus masa tiba dapat terhubung sudah upgrade sampai restart masih dapat terhubung padahal;;
mendaftar pakai sama disaat login diguna mnta perbarui sandi ste diperbarui sudah bayar diguna;;
minta refund uang sudah langgan masuk eror terus padahal sinyal bagus aneh;;
sudah berlanggan baru hari tiba tiba dapat connect coba contact disuruh coba hapus penyimpan setting namun ketika dicoba login kembali malah selalu terjadi kesalah coba juga gimana;;
bingung pendaftaran disuruh bayar dulu cok padahal periksa dulu isi;;
buruk;;
dapat terhubung;;
